timestamp,open,high,low,close,volume,SMA_7,SMA_20,SMA_50,EMA_7,EMA_12,EMA_26,MACD_6_13_9,MACDh_6_13_9,MACDs_6_13_9,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_7,RSI_14,ADX_14,DMP_14,DMN_14,ATRr_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,OBV,MFI_14,STOCHk_14_3_3,STOCHd_14_3_3,K_9_3,D_9_3,J_9_3,UO_7_14_28,TRIX_15_9,TRIXs_15_9,return
2019/8/23,0.0026486,0.002693,0.0026153,0.0026668,49673949,0.002680871,0.002796525,0.0029568,0.002683268,0.002714797,0.002809945,-4.35E-05,4.39E-06,-4.79E-05,-9.51E-05,2.62E-06,-9.78E-05,41.23816671,39.55899062,22.67508543,12.99017889,21.4403053,0.000140731,0.002522541,0.002796525,0.003070509,19.59462741,0.263262006,681920162,34.78676548,30.5526109,32.99162865,44.87768845,40.46988337,53.6932986,55.25678127,-0.402555686,-0.361468999,0.007937108
2019/8/24,0.0026644,0.0026785,0.0025647,0.0026222,61164375,0.002680457,0.002781525,0.002931842,0.002668001,0.002700551,0.002796038,-4.53E-05,2.14E-06,-4.74E-05,-9.55E-05,1.83E-06,-9.73E-05,36.05254355,37.24393767,23.25680251,12.21002173,22.82304825,0.000138759,0.002503881,0.002781525,0.003059169,19.96346591,0.213077229,620755787,34.16053684,31.25121831,31.00341696,42.11358084,41.01778256,44.30517741,55.4351696,-0.408827801,-0.37394193,-0.016724164
2019/8/25,0.0026274,0.002666,0.002582,0.0026237,59937736,0.002670271,0.00276057,0.002914316,0.002656926,0.002688728,0.002783272,-4.42E-05,2.52E-06,-4.68E-05,-9.45E-05,2.21E-06,-9.68E-05,36.36651525,37.37667496,23.7914757,11.65366762,21.7831077,0.000134756,0.002502386,0.00276057,0.003018754,18.70509535,0.234936714,680693523,34.66324777,31.17262512,30.99215144,37.11224841,39.71593779,31.90486964,52.49826515,-0.414177866,-0.384728736,0.000572039
2019/8/26,0.0026192,0.0027048,0.0025931,0.0026409,75309430,0.002650171,0.00274483,0.00289638,0.002652919,0.00268137,0.002772726,-3.94E-05,5.92E-06,-4.53E-05,-9.14E-05,4.32E-06,-9.57E-05,40.28852782,38.97070847,23.65770387,13.06756831,20.4487848,0.000133073,0.002498017,0.00274483,0.002991643,17.98387189,0.289456288,756002953,41.14832384,31.41038695,31.27807679,35.96715758,38.46634435,30.96878402,49.59659667,-0.416783226,-0.393142383,0.006555628
2019/8/27,0.002637,0.00264,0.0025763,0.0025993,57813268,0.002634071,0.002725515,0.002879206,0.002639515,0.002668744,0.002759879,-4.07E-05,3.66E-06,-4.44E-05,-9.11E-05,3.63E-06,-9.48E-05,34.31982434,36.54761623,23.7034172,12.58734923,20.65301354,0.000128084,0.002497335,0.002725515,0.002953695,16.74402377,0.223431596,698189685,40.8979949,30.82566294,31.136225,29.90912193,35.61393683,18.49949213,50.13150134,-0.419503932,-0.399621172,-0.015752206
2019/8/28,0.0026014,0.0026014,0.0024772,0.0024965,73252773,0.0026136,0.002702165,0.002860046,0.002603761,0.002642245,0.00274037,-5.46E-05,-8.15E-06,-4.64E-05,-9.81E-05,-2.68E-06,-9.54E-05,24.04838848,31.35872559,24.62301639,11.69731905,24.8345365,0.000127802,0.002480698,0.002702165,0.002923632,16.39181798,0.035675711,624936912,41.88273499,23.08485765,28.44030251,22.02951638,31.08579662,3.91695588,46.71741619,-0.428474734,-0.405943963,-0.039549109
2019/8/29,0.0024956,0.0024958,0.002339,0.0024244,101148551,0.002581971,0.002677735,0.002841692,0.002558921,0.00260873,0.002716965,-7.11E-05,-1.98E-05,-5.14E-05,-0.000108235,-1.02E-05,-9.80E-05,19.31764655,28.32161688,26.37186245,10.66724951,30.37454229,0.00012996,0.002447082,0.002677735,0.002908388,17.22745707,-0.049169518,523788361,41.48178132,16.8263449,23.57895516,22.2271831,28.13292543,10.41569846,47.82412198,-0.445538756,-0.413355216,-0.028880433
2019/8/30,0.0024421,0.0024939,0.0023879,0.0024449,37512207,0.002550271,0.00265748,0.00282641,0.002530416,0.002583525,0.002696812,-7.54E-05,-1.93E-05,-5.62E-05,-0.000113286,-1.22E-05,-0.000101057,24.26000176,30.3860531,27.98461137,10.02726052,28.55220069,0.000128221,0.002419852,0.00265748,0.002895108,17.88370621,0.052704148,561300568,46.80024098,15.31436325,18.40852193,24.16911545,26.81165543,18.8840355,46.79516506,-0.465249985,-0.421958594,0.0084557
2019/8/31,0.0024517,0.0024878,0.0024118,0.0024528,36338319,0.002526071,0.00263575,0.002810222,0.002511012,0.002563414,0.002678737,-7.38E-05,-1.41E-05,-5.97E-05,-0.000115323,-1.14E-05,-0.00010391,26.29002805,31.20830932,29.47262016,9.583316427,27.28808863,0.000124435,0.002406874,0.00263575,0.002864626,17.36708083,0.100330163,597638887,51.21008756,21.38351556,17.8414079,26.48270901,26.70200662,26.04411379,46.83250937,-0.484634474,-0.431749607,0.003231216
2019/9/1,0.002452,0.0024851,0.0024109,0.0024603,35956148,0.002502729,0.002616185,0.002794364,0.002498334,0.00254755,0.002662556,-6.88E-05,-7.28E-06,-6.15E-05,-0.000115006,-8.88E-06,-0.000106129,28.41512432,32.02913804,30.85207609,9.157054277,26.12827617,0.000120798,0.002397801,0.002616185,0.002834569,16.69484062,0.143094206,633595035,47.25601698,23.89963555,20.19917145,28.70853829,27.37085051,31.38391383,47.33227382,-0.501674417,-0.442762799,0.00305773
2019/9/2,0.0024635,0.0026167,0.0024377,0.0025882,53572010,0.0024952,0.0026039,0.002787778,0.0025208,0.002553804,0.002657048,-4.46E-05,1.35E-05,-5.81E-05,-0.000103245,2.31E-06,-0.000105552,54.50882165,44.24662043,30.00305866,15.82414,23.4217396,0.000125008,0.002409569,0.0026039,0.002798231,14.92614893,0.459605003,687167045,42.95176605,35.10224517,26.79513209,41.84724496,32.19631534,61.14910421,53.29816389,-0.506629463,-0.45362965,0.05198553
2019/9/3,0.002591,0.0026054,0.0025313,0.0025593,64679806,0.002489486,0.00259606,0.00277754,0.002530425,0.002554649,0.002649808,-3.21E-05,2.08E-05,-5.29E-05,-9.52E-05,8.32E-06,-0.000103474,49.73013984,42.39240995,29.21867629,15.12563946,22.38786996,0.000121329,0.002407914,0.00259606,0.002784206,14.49469753,0.40230966,622487239,48.93826963,46.5788937,35.19359147,47.97288538,37.45517202,69.0083121,53.65193089,-0.504279426,-0.463640935,-0.011166061
2019/9/4,0.0025647,0.0025711,0.0025,0.0025097,32789886,0.002491371,0.002591965,0.002771746,0.002525244,0.002547734,0.002639429,-3.03E-05,1.81E-05,-4.84E-05,-9.17E-05,9.42E-06,-0.000101118,42.30414176,39.34496019,28.79498095,14.46581907,23.3316299,0.000117701,0.002400081,0.002591965,0.002783849,14.80602867,0.285638206,589697353,51.18639403,53.15019947,44.94377944,50.88557807,41.93197404,68.79278613,54.45661926,-0.49964865,-0.472848204,-0.019380299
2019/9/5,0.0025221,0.0025221,0.0024589,0.0024909,44318276,0.002500871,0.00258396,0.00276392,0.002516658,0.00253899,0.002628427,-3.06E-05,1.43E-05,-4.48E-05,-8.94E-05,9.34E-06,-9.88E-05,39.683724,38.22335977,28.77971369,13.88596306,25.00315671,0.000113769,0.002389258,0.00258396,0.002778662,15.0700286,0.261019104,545379077,53.15780879,48.36719422,49.36542913,52.15682398,45.34025736,65.78995724,54.12738908,-0.494097448,-0.481136373,-0.007490935
2019/9/6,0.0024897,0.0025054,0.0024,0.00247,81836503,0.002504457,0.002576205,0.002751362,0.002504993,0.002528377,0.002616692,-3.25E-05,9.88E-06,-4.24E-05,-8.83E-05,8.37E-06,-9.67E-05,36.73268124,36.96189141,29.25587155,12.9534182,27.07692254,0.000113165,0.002376387,0.002576205,0.002776023,15.51255755,0.234245187,463542574,44.97499928,40.85196195,47.45645188,50.49561882,47.05871118,57.36943411,55.44698898,-0.48875717,-0.487834421,-0.008390542
